multiqc,1.11
kraken2,2.1.3
shovill,1.1.0
fastp,0.24.0
masurca,4.1.0
polypolish,0.6.0
bwa,0.7.17
circlator,1.5.5
flye,2.9.3
filtlong,0.2.1
snikt,0.5.0
mlst,2.23.0
quast,5.3.0
mob_suite,3.1.9
hamronization,1.1.0
agrvate,1.0.1
emmtyper,0.2.0
hicap,1.0.4
kleborate,3.1.2
legsta,0.5.1
lissero,0.4.9
staphopia-sccmec,1.0.0
seqsero2,1.3.1
sistr_cmd,1.1.3
spatyper,0.3.3
ectyper,2.0.0
seroba,1.0.2
pigz,2.4
stecfinder,1.1.0
shigatyper,2.0.5
fastq-screen,0.14.0
virulencefinder,3.1.0
chewbbaca,3.3.10
cgmlst-dists,0.4.0
